"BOM Report: LOOD-17747-001, Last Modified: 2025-02-14-07-12-34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM Usage Attributes,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,,,,,Part Attributes,,,,,,,,,,,,,,,,,,,,CAD Physical Attributes,,,,Physical Attributes,,,,,,CS Attributes,,System Attributes,,,
Level,Number,Type,Assembly Mode,L-Nr.,QTY,Unit,Version,Name,State,Service Level,"Food
Contact ",Delivery Item,"Lifetime 
Quantity",Lifetime Unit,"SPC 
Termination","Initial Spare 
Part Indic.","Operating
Element","BOM
Class 1",Name EN-US,Description EN-US,Name DE-DE,Description DE-DE,Name ZH-CHS,Description ZH-CHS,Name ES-ES,Description ES-ES,Name PT-BR,Description PT-BR,Name CS-CZ,Description CS-CZ,Name VI-VN,Description VI-VN,Partner,Source,Comparable,Configuration Type,Default Unit,"Reuse Not 
Allowed","Old Part 
Number",Machine Type,Basic Material,"Basic Material
Description",Supersede,Superseded By,"Material 
Group","No Logistic 
Relevance","Dangerous
Good Indic.",ClassNode,Legacy ID,Electrical Relevant,Doc Classification,Stackability,Delta X [mm],Delta Y [mm],Delta Z [mm],Mass [kg],Length [mm],Width [mm],Height [mm],Netto Weight,Weight Unit,Weight Code,Service Life in Months:,SPC Termination Part:,Design Office,Division,Modified by,Last Modified
2,LONT-15940-001,Standard Part,Component,10,2,each,00.6 ,"terminal block 1,5 mm2 500 V 25 A",Released,,,,,,,,W5(-P1),K1.B1,"terminal block 1,5 mm2 500 V 25 A","terminal block 1,5 mm2 500 V 25 A
 manufacturer Phoenix
order no. 3031047
type ZPV 1,5/2,5 (8/1)
conductor cross-section 0,2 -2,5 mm2
and AWG 12 -26","Reihenklemme 1,5 mm2 500 V 25 A","Reihenklemme 1,5 mm2 500 V 25 A
 Hersteller Phoenix
Bestell-Nr. 3031047
Typ ZPV 1,5/2,5 (8/1)
Leiter Querschnitt 0,2 -2,5 mm2
und AWG 12 -26","接线盒 1,5 mm2 500 伏 25 A","接线盒 1,5 mm2 500 伏 25 A
 制造商 Phoenix
订单号 3031047
型号 ZPV 1,5/2,5 (8/1)
导体 横截面 0,2 -2,5 mm2
和 美制线规 12 -26","borne en serie 1,5 mm2 500 V 25 A","borne en serie 1,5 mm2 500 V 25 A
 fabricante Phoenix
n.? de pedido 3031047
tipo ZPV 1,5/2,5 (8/1)
conductor eléctrico sección 0,2 -2,5 mm2
y AWG 12 -26","régua de bornes 1,5 mm2 500 V 25 A","régua de bornes 1,5 mm2 500 V 25 A
 fabricante Phoenix
n.° de encomenda 3031047
tipo ZPV 1,5/2,5 (8/1)
condutor elétrico se??o transversal 0,2
 -2,5 mm2
e bitola de fios em AWG 12 -26","?adová svorka 1,5 mm2 500 V 25 A","?adová svorka 1,5 mm2 500 V 25 A
 v?robce Phoenix
obj. ?. 3031047
typ ZPV 1,5/2,5 (8/1)
elektrick? vodi? p?í?n? ?ez 0,2 -2,5 mm2
a AWG 12 -26","t? h?p tr?m cu?i 1,5 mm2 500 V 25 A","t? h?p tr?m cu?i 1,5 mm2 500 V 25 A
 nhà s?n xu?t Phoenix
??n hàng s? 3031047
lo?i ZPV 1,5/2,5 (8/1)
v?t d?n ?i?n m?t c?t 0,2 -2,5 mm2
và Cáp AWG 12 -26","BLOC, BLOA",Buy,,,each,false,102095952,,,,,,27141111,false,Dangerous Good No / Hazardous Good No,K01126,,,,,,,,0.01,141,5.2,58.5,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2022-08-03 11:41:49
2,LONT-82773-001,Standard Part,Separable,11,1,each,00.3 ,Schnellmontage-Endhalter Clipfix 35,Released,,,,,,,,W5(-P1),K1.B1,Schnellmontage-Endhalter Clipfix 35,"Schnellmontage-Endhalter Clipfix 35
Phoenix Contact Deutschland GmbH: 3022218
Alte Nummer: 18 90 00 235",Schnellmontage-Endhalter Clipfix 35,"Schnellmontage-Endhalter Clipfix 35
Phoenix Contact Deutschland GmbH: 3022218
Alte Nummer: 18 90 00 235",,,,,,,,,,,BLOA,Buy,,,each,false,18 90 00 235,,,,,,,false,Dangerous Good No / Hazardous Good No,,,,,,,,,,,,,,,,,,S13 Standardization  BLOA,OP Optics (B8),"Malinovic, Sasa Administrator",2019-11-15 04:01:10
2,LONT-19276-001,Standard Part,Component,12,1,each,00.5 ,"jumper FBS 5-5, five-pole",Released,,,,,,,,W5(-P1),K1.B1,"jumper FBS 5-5, five-pole","jumper FBS 5-5, five-pole
 manufacturer Ph?nix
order no. 3030190
number of poles 5","Jumper FBS 5-5, 5-polig","Jumper FBS 5-5, 5-polig
 Hersteller Ph?nix
Bestell-Nr. 3030190
Polzahl 5","跨接器 FBS 5-5, 五极的","跨接器 FBS 5-5, 五极的
 制造商 Ph?nix
订单号 3030190
极数 5","jumper FBS 5-5, de 5 polos","jumper FBS 5-5, de 5 polos
 fabricante Ph?nix
n.? de pedido 3030190
número de polos 5","jumper FBS 5-5, de 5 polos","jumper FBS 5-5, de 5 polos
 fabricante Ph?nix
n.° de encomenda 3030190
número de polos 5","vodivá spojka FBS 5-5, pětipólov?","vodivá spojka FBS 5-5, pětipólov?
 v?robce Ph?nix
obj. ?. 3030190
po?et pól? 5","c?u n?i FBS 5-5, n?m c?c","c?u n?i FBS 5-5, n?m c?c
 nhà s?n xu?t Ph?nix
??n hàng s? 3030190
s? c?c 5","BLOC, BLOA",Buy,,,each,false,102074544,,,,,,27260701,false,Dangerous Good No / Hazardous Good No,K01114,,,,,,,,0.01,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2022-08-08 09:13:39
2,LONT-15941-001,Standard Part,Component,13,1,each,00.7 ,lid for terminal block,Released,,,,,,,,W5(-P1),K1.B1,lid for terminal block,"lid for terminal block
 manufacturer Phoenix
order no. 3031050
type D-ZPV 1,5/2,5(8/1)
paint gray",Deckel für Reihenklemme,"Deckel für Reihenklemme
 Hersteller Phoenix
Bestell-Nr. 3031050
Modell D-ZPV 1,5/2,5(8/1)
Farbe grau",盖子   接线盒,"盖子   接线盒
 制造商 Phoenix
订单号 3031050
型号 D-ZPV 1,5/2,5(8/1)
油漆 灰色",tapa para borne en serie,"tapa para borne en serie
 fabricante Phoenix
n.? de pedido 3031050
modelo D-ZPV 1,5/2,5(8/1)
pintura gris",tampa para régua de bornes,"tampa para régua de bornes
 fabricante Phoenix
n.° de encomenda 3031050
modelo D-ZPV 1,5/2,5(8/1)
pintura cinza",víko pro ?adová svorka,"víko pro ?adová svorka
 v?robce Phoenix
obj. ?. 3031050
model D-ZPV 1,5/2,5(8/1)
nátěrová barva ?ed?",n?p ?? t? h?p tr?m cu?i,"n?p ?? t? h?p tr?m cu?i
 nhà s?n xu?t Phoenix
??n hàng s? 3031050
ch?ng lo?i D-ZPV 1,5/2,5(8/1)
s?n xám","BLOA, BLOC",Buy,,,each,false,102095955,,,,,,27149110,false,Dangerous Good No / Hazardous Good No,K01126,,,,,,,,0.01,2,141,58.5,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2022-08-03 11:42:02
2,LONT-15940-001,Standard Part,Component,14,2,each,00.6 ,"terminal block 1,5 mm2 500 V 25 A",Released,,,,,,,,W5(-P2),K1.B1,"terminal block 1,5 mm2 500 V 25 A","terminal block 1,5 mm2 500 V 25 A
 manufacturer Phoenix
order no. 3031047
type ZPV 1,5/2,5 (8/1)
conductor cross-section 0,2 -2,5 mm2
and AWG 12 -26","Reihenklemme 1,5 mm2 500 V 25 A","Reihenklemme 1,5 mm2 500 V 25 A
 Hersteller Phoenix
Bestell-Nr. 3031047
Typ ZPV 1,5/2,5 (8/1)
Leiter Querschnitt 0,2 -2,5 mm2
und AWG 12 -26","接线盒 1,5 mm2 500 伏 25 A","接线盒 1,5 mm2 500 伏 25 A
 制造商 Phoenix
订单号 3031047
型号 ZPV 1,5/2,5 (8/1)
导体 横截面 0,2 -2,5 mm2
和 美制线规 12 -26","borne en serie 1,5 mm2 500 V 25 A","borne en serie 1,5 mm2 500 V 25 A
 fabricante Phoenix
n.? de pedido 3031047
tipo ZPV 1,5/2,5 (8/1)
conductor eléctrico sección 0,2 -2,5 mm2
y AWG 12 -26","régua de bornes 1,5 mm2 500 V 25 A","régua de bornes 1,5 mm2 500 V 25 A
 fabricante Phoenix
n.° de encomenda 3031047
tipo ZPV 1,5/2,5 (8/1)
condutor elétrico se??o transversal 0,2
 -2,5 mm2
e bitola de fios em AWG 12 -26","?adová svorka 1,5 mm2 500 V 25 A","?adová svorka 1,5 mm2 500 V 25 A
 v?robce Phoenix
obj. ?. 3031047
typ ZPV 1,5/2,5 (8/1)
elektrick? vodi? p?í?n? ?ez 0,2 -2,5 mm2
a AWG 12 -26","t? h?p tr?m cu?i 1,5 mm2 500 V 25 A","t? h?p tr?m cu?i 1,5 mm2 500 V 25 A
 nhà s?n xu?t Phoenix
??n hàng s? 3031047
lo?i ZPV 1,5/2,5 (8/1)
v?t d?n ?i?n m?t c?t 0,2 -2,5 mm2
và Cáp AWG 12 -26","BLOC, BLOA",Buy,,,each,false,102095952,,,,,,27141111,false,Dangerous Good No / Hazardous Good No,K01126,,,,,,,,0.01,141,5.2,58.5,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2022-08-03 11:41:49
2,LONT-82773-001,Standard Part,Separable,15,1,each,00.3 ,Schnellmontage-Endhalter Clipfix 35,Released,,,,,,,,W5(-P2),K1.B1,Schnellmontage-Endhalter Clipfix 35,"Schnellmontage-Endhalter Clipfix 35
Phoenix Contact Deutschland GmbH: 3022218
Alte Nummer: 18 90 00 235",Schnellmontage-Endhalter Clipfix 35,"Schnellmontage-Endhalter Clipfix 35
Phoenix Contact Deutschland GmbH: 3022218
Alte Nummer: 18 90 00 235",,,,,,,,,,,BLOA,Buy,,,each,false,18 90 00 235,,,,,,,false,Dangerous Good No / Hazardous Good No,,,,,,,,,,,,,,,,,,S13 Standardization  BLOA,OP Optics (B8),"Malinovic, Sasa Administrator",2019-11-15 04:01:10
2,LONT-19276-001,Standard Part,Component,16,1,each,00.5 ,"jumper FBS 5-5, five-pole",Released,,,,,,,,W5(-P2),K1.B1,"jumper FBS 5-5, five-pole","jumper FBS 5-5, five-pole
 manufacturer Ph?nix
order no. 3030190
number of poles 5","Jumper FBS 5-5, 5-polig","Jumper FBS 5-5, 5-polig
 Hersteller Ph?nix
Bestell-Nr. 3030190
Polzahl 5","跨接器 FBS 5-5, 五极的","跨接器 FBS 5-5, 五极的
 制造商 Ph?nix
订单号 3030190
极数 5","jumper FBS 5-5, de 5 polos","jumper FBS 5-5, de 5 polos
 fabricante Ph?nix
n.? de pedido 3030190
número de polos 5","jumper FBS 5-5, de 5 polos","jumper FBS 5-5, de 5 polos
 fabricante Ph?nix
n.° de encomenda 3030190
número de polos 5","vodivá spojka FBS 5-5, pětipólov?","vodivá spojka FBS 5-5, pětipólov?
 v?robce Ph?nix
obj. ?. 3030190
po?et pól? 5","c?u n?i FBS 5-5, n?m c?c","c?u n?i FBS 5-5, n?m c?c
 nhà s?n xu?t Ph?nix
??n hàng s? 3030190
s? c?c 5","BLOC, BLOA",Buy,,,each,false,102074544,,,,,,27260701,false,Dangerous Good No / Hazardous Good No,K01114,,,,,,,,0.01,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2022-08-08 09:13:39
2,LONT-15941-001,Standard Part,Component,17,1,each,00.7 ,lid for terminal block,Released,,,,,,,,W5(-P2),K1.B1,lid for terminal block,"lid for terminal block
 manufacturer Phoenix
order no. 3031050
type D-ZPV 1,5/2,5(8/1)
paint gray",Deckel für Reihenklemme,"Deckel für Reihenklemme
 Hersteller Phoenix
Bestell-Nr. 3031050
Modell D-ZPV 1,5/2,5(8/1)
Farbe grau",盖子   接线盒,"盖子   接线盒
 制造商 Phoenix
订单号 3031050
型号 D-ZPV 1,5/2,5(8/1)
油漆 灰色",tapa para borne en serie,"tapa para borne en serie
 fabricante Phoenix
n.? de pedido 3031050
modelo D-ZPV 1,5/2,5(8/1)
pintura gris",tampa para régua de bornes,"tampa para régua de bornes
 fabricante Phoenix
n.° de encomenda 3031050
modelo D-ZPV 1,5/2,5(8/1)
pintura cinza",víko pro ?adová svorka,"víko pro ?adová svorka
 v?robce Phoenix
obj. ?. 3031050
model D-ZPV 1,5/2,5(8/1)
nátěrová barva ?ed?",n?p ?? t? h?p tr?m cu?i,"n?p ?? t? h?p tr?m cu?i
 nhà s?n xu?t Phoenix
??n hàng s? 3031050
ch?ng lo?i D-ZPV 1,5/2,5(8/1)
s?n xám","BLOA, BLOC",Buy,,,each,false,102095955,,,,,,27149110,false,Dangerous Good No / Hazardous Good No,K01126,,,,,,,,0.01,2,141,58.5,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2022-08-03 11:42:02
2,LONT-61090-001,Standard Part,Component,18,1,each,00.5 ,cable Ethernet 0.50 m,Released,,,,,,,,W543,S1,cable Ethernet 0.50 m,"cable Ethernet 0.50 m
patch cable EtherCAT
manufacturer Beckhoff
order no. ZK1090-9191-0005
l 0.50 m",unkonfektioniertes Kabel Ethernet 0.50 m,"unkonfektioniertes Kabel Ethernet 0.50 m
Patchkabel EtherCAT
Hersteller Beckhoff
Bestell-Nr. ZK1090-9191-0005
L 0.50 m",线缆 以太网 0.50 m,"线缆 以太网 0.50 m
转接电缆 以太网控制自动化技术
制造商 Beckhoff
订单号 ZK1090-9191-0005
长度 0.50 m",cable no confeccionado Ethernet 0.50 m,"cable no confeccionado Ethernet 0.50 m
cable de interconexiones EtherCAT
fabricante Beckhoff
n.? de pedido ZK1090-9191-0005
long. 0.50 m",fio Ethernet 0.50 m,"fio Ethernet 0.50 m
cabo de patch EtherCAT
fabricante Beckhoff
n.° de encomenda ZK1090-9191-0005
compr. 0.50 m",neprefabrikovan? kabel ethernet 0.50 m,"neprefabrikovan? kabel ethernet 0.50 m
sí?ov? patch kabel EtherCAT
v?robce Beckhoff
obj. ?. ZK1090-9191-0005
délka 0.50 m",cáp Ethernet 0.50 m,"cáp Ethernet 0.50 m
cáp n?i t?m EtherCAT
nhà s?n xu?t Beckhoff
??n hàng s? ZK1090-9191-0005
chi?u dài 0.50 m","BLOC, BLOA",Buy,,,each,false,,,,,,,27060000,,,K00683,,,,,,,,,,,,,kg,Specified,,BELOW,M60 M2M LO BLOC,OP Optics (B8),"Zandonella, Romolo",2022-07-14 04:13:34
2,LONT-61704-001,Standard Part,Separable,19,1,each,00.1 ,connector RJ45 pin contact,Released,,,,,,,,,,connector RJ45 pin contact,"connector RJ45 pin contact
brand WAIN
type designation HM-RJ45-M
order no. 229 001 001 0001",Ger?testeckdose RJ45 Stiftkontakt,"Ger?testeckdose RJ45 Stiftkontakt
Marke WAIN
Typenbezeichnung HM-RJ45-M
Bestell-Nr. 229 001 001 0001",连接器 RJ45 针式接头,"连接器 RJ45 针式接头
品牌 WAIN
型号 HM-RJ45-M
订单号 229 001 001 0001",enchufe hembra del dispositivo RJ45,"enchufe hembra del dispositivo RJ45
 contacto macho
marca WAIN
denominación de tipo HM-RJ45-M
n.? de pedido 229 001 001 0001",conector RJ45 contato de pino,"conector RJ45 contato de pino
marca WAIN
designa??o de tipo HM-RJ45-M
n.° de encomenda 229 001 001 0001",p?ívodka RJ45 kolíkov? kontakt,"p?ívodka RJ45 kolíkov? kontakt
zna?ka WAIN
typové ozna?ení HM-RJ45-M
obj. ?. 229 001 001 0001",??u n?i RJ45 ??u c?m,"??u n?i RJ45 ??u c?m
nh?n hi?u WAIN
kí hi?u ch?ng lo?i HM-RJ45-M
??n hàng s? 229 001 001 0001","BLOC, BLOA",Buy,,,each,false,,,,,,,27143400,,,,,,,,,,,,,,,,kg,Specified,,BELOW,M60 M2M LO BLOC,OP Optics (B8),"Wang, August",2021-07-18 04:47:07
2,LONT-61705-001,Standard Part,Separable,20,1,each,00.1 ,connector RJ45 socket contact,Released,,,,,,,,,,connector RJ45 socket contact,"connector RJ45 socket contact
brand WAIN
type designation HM-RJ45-F
order no. 129 001 002 0092",Ger?testeckdose RJ45 Buchsenkontakt,"Ger?testeckdose RJ45 Buchsenkontakt
Marke WAIN
Typenbezeichnung HM-RJ45-F
Bestell-Nr. 129 001 002 0092",连接器 RJ45 插座触点,"连接器 RJ45 插座触点
品牌 WAIN
型号 HM-RJ45-F
订单号 129 001 002 0092",enchufe hembra del dispositivo RJ45,"enchufe hembra del dispositivo RJ45
 contacto hembra
marca WAIN
denominación de tipo HM-RJ45-F
n.? de pedido 129 001 002 0092",conector RJ45 contato de soquete,"conector RJ45 contato de soquete
marca WAIN
designa??o de tipo HM-RJ45-F
n.° de encomenda 129 001 002 0092",p?ívodka RJ45 zdí?kov? kontakt,"p?ívodka RJ45 zdí?kov? kontakt
zna?ka WAIN
typové ozna?ení HM-RJ45-F
obj. ?. 129 001 002 0092",??u n?i RJ45 l? c?m,"??u n?i RJ45 l? c?m
nh?n hi?u WAIN
kí hi?u ch?ng lo?i HM-RJ45-F
??n hàng s? 129 001 002 0092","BLOC, BLOA",Buy,,,each,false,,,,,,,27143400,,,,,,,,,,,,,,,,kg,Specified,,BELOW,M60 M2M LO BLOC,OP Optics (B8),"Wang, August",2021-07-18 04:47:09
2,LONT-63222-001,Standard Part,Component,21,2,each,00.1 ,crimp contact,Released,,,,,,,,,,crimp contact,"crimp contact
brand WAIN
type HM-RJ45-APT/2
art. no. 229 001 000 0005",Crimpkontakt,"Crimpkontakt
Marke WAIN
Modell HM-RJ45-APT/2
Art.-Nr. 229 001 000 0005",压接接触件,"压接接触件
品牌 WAIN
型号 HM-RJ45-APT/2
产品编号 229 001 000 0005",contacto de engarzar,"contacto de engarzar
marca WAIN
modelo HM-RJ45-APT/2
n.? art. 229 001 000 0005",terminal de crimpar,"terminal de crimpar
marca WAIN
modelo HM-RJ45-APT/2
número do artigo 229 001 000 0005",lisovan? kontakt,"lisovan? kontakt
zna?ka WAIN
model HM-RJ45-APT/2
?. polo?ky 229 001 000 0005",ti?p ?i?m k?p,"ti?p ?i?m k?p
nh?n hi?u WAIN
ch?ng lo?i HM-RJ45-APT/2
m? s? s?n ph?m 229 001 000 0005","BLOC, BLOA",Buy,,,each,false,,,,,,,27260701,,Dangerous Good No / Hazardous Good No,K00842,,false,B1 Business,,,,,,,,,,kg,Specified,,BELOW,M60 M2M LO BLOC,OP Optics (B8),"Wang, August",2024-12-06 01:50:22
2,LONT-63219-001,Standard Part,Separable,22,2,each,00.1 ,cable clamp,Released,,,,,,,,,,cable clamp,"cable clamp
brand WAIN
type HM-CLP10-12
art. no. 198 002 003 0033",Kabelschelle,"Kabelschelle
Marke WAIN
Modell HM-CLP10-12
Art.-Nr. 198 002 003 0033",电缆线夹,"电缆线夹
品牌 WAIN
型号 HM-CLP10-12
产品编号 198 002 003 0033",abrazadera de cable,"abrazadera de cable
marca WAIN
modelo HM-CLP10-12
n.? art. 198 002 003 0033",abra?adeira de cabo,"abra?adeira de cabo
marca WAIN
modelo HM-CLP10-12
número do artigo 198 002 003 0033",kabelová spona,"kabelová spona
zna?ka WAIN
model HM-CLP10-12
?. polo?ky 198 002 003 0033",móc k?p cáp,"móc k?p cáp
nh?n hi?u WAIN
ch?ng lo?i HM-CLP10-12
m? s? s?n ph?m 198 002 003 0033","BLOC, BLOA",Buy,,,each,false,,,,,,,27309206,,Dangerous Good No / Hazardous Good No,K01126,,false,B1 Business,,,,,,,,,,kg,Specified,,BELOW,M60 M2M LO BLOC,OP Optics (B8),"Wang, August",2024-12-06 01:50:22
1,LOOD-17743-001,Part,Separable,9,1,each,00.6 ,F-BOM EOS =M01,Released,,,,,,,,,M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,F-BOM EOS =M01,BLOC,Buy,,,each,,,,,,,,22105200,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yang, Ian",2024-12-06 08:40:45
2,HAZF-91845-001,Standard Part,Component,1,8,meters,00.16 ,"M/cable 4*1,5mm2",Released,,,,,,,,W131,I1,"M/cable 4*1,5mm2","Data cableNumbered cable ?lflex Classic 110 CY
4G1.5mm2
U0/U =300V / 500V
Shielded",Kabel 4G1.5mm2 ?LFLEX CLASSIC 110 CY,"Nummernkabel ?lflex Classic 110 CY
4G1,5mm2
U0/U =300V / 500V
Geschirmt",电缆 4G1.5mm2 ?LFLEX CLASSIC 110 CY,"Cable 4G1.5mm2 ?LFLEX CLASSIC 110 CY
With Shielded, incl. PE
Order no. 1135304",   ,   ,,,LAPP 1135304,LAPP 1135304,,,Corporate,Buy,,,meters,false,05825849,,,,"HAZA-17158-001,LONT-18579-001,HAZF-96172-001,HAZC-12090-001",,27060000,false,Dangerous Good No / Hazardous Good No,K00686,,true,,,,,,,210,210,20,0.161,kg,Weighted,,,S22 Standardization BHWL,WF Wafer (D1),"Malinovic, Sasa Administrator",2024-12-24 10:14:44
2,HAZF-46485-001,Standard Part,Component,2,8,meters,00.24 ,?lflex Classic 110 2x0.5mm2,Released,,,,,,,,W334,I1,?lflex Classic 110 2x0.5mm2,Data cableNumbered cable ?lflex Classic 110 2x0.5mm2 U0/U =300V / 500V Certificate(s): CE,"?lflex Classic 110 2x0,5mm2","Nummernkabel ?lflex Classic 110 2x0,5mm2 U0/U =300V / 500V Zulassung(en): CE","?LFLEX 电缆 2x0,5mm2  300/500V","?LFLEX 电缆 2x0,5mm2  300/500V","cable numerado marca ?LFLEX 2x 0,5mm2 cable numerado marca ?LFLEX 2x 0,5mm2  ","cable numerado marca ?LFLEX 2x 0,5mm2 cable numerado marca ?LFLEX 2x 0,5mm2  ",CABO ELETRICO PVC FLEX. 2X0.5MM2 LAPP OL,CABO ELETRICO PVC FLEX. 2X0.5MM2 LAPP OLFLEX-CLASSIC 110 COD.1119752,,,,,Corporate,Buy,,,meters,false,02967723,,,,"LONT-33373-001,HAZB-34030-001",,27060000,false,Dangerous Good No / Hazardous Good No,K00687,,true,,,,,,,195,195,5,0.035,kg,Specified,,,S22 Standardization BHWL,WF Wafer (D1),Pikner Zoe,2023-09-19 01:27:11
2,HAZF-46485-001,Standard Part,Component,3,8,meters,00.24 ,?lflex Classic 110 2x0.5mm2,Released,,,,,,,,W338,I1,?lflex Classic 110 2x0.5mm2,Data cableNumbered cable ?lflex Classic 110 2x0.5mm2 U0/U =300V / 500V Certificate(s): CE,"?lflex Classic 110 2x0,5mm2","Nummernkabel ?lflex Classic 110 2x0,5mm2 U0/U =300V / 500V Zulassung(en): CE","?LFLEX 电缆 2x0,5mm2  300/500V","?LFLEX 电缆 2x0,5mm2  300/500V","cable numerado marca ?LFLEX 2x 0,5mm2 cable numerado marca ?LFLEX 2x 0,5mm2  ","cable numerado marca ?LFLEX 2x 0,5mm2 cable numerado marca ?LFLEX 2x 0,5mm2  ",CABO ELETRICO PVC FLEX. 2X0.5MM2 LAPP OL,CABO ELETRICO PVC FLEX. 2X0.5MM2 LAPP OLFLEX-CLASSIC 110 COD.1119752,,,,,Corporate,Buy,,,meters,false,02967723,,,,"LONT-33373-001,HAZB-34030-001",,27060000,false,Dangerous Good No / Hazardous Good No,K00687,,true,,,,,,,195,195,5,0.035,kg,Specified,,,S22 Standardization BHWL,WF Wafer (D1),Pikner Zoe,2023-09-19 01:27:11
2,LONT-11963-001,Standard Part,Component,4,1,each,00.2 ,cable gland ST-M12x1.5,Released,,,,,,,,W338,I1,cable gland ST-M12x1.5,"cable gland ST-M12x1.5
manufacturer Lapp Kabel
art. no. 5311 1400
paint light gray RAL 7035",Kabelverschraubung ST-M12x1.5,"Kabelverschraubung ST-M12x1.5
Hersteller Lapp Kabel
Art.-Nr. 5311 1400
Farbe lichtgrau RAL 7035",电缆夹套 ST-M12x1.5,"电缆夹套 ST-M12x1.5
制造商 Lapp Kabel
产品编号 5311 1400
油漆 浅灰色 劳尔色卡 7035",racor roscado para cables ST-M12x1.5,"racor roscado para cables ST-M12x1.5
fabricante Lapp Kabel
n.? art. 5311 1400
pintura gris luminoso RAL 7035",uni?o roscada de cabo ST-M12x1.5,"uni?o roscada de cabo ST-M12x1.5
fabricante Lapp Kabel
número do artigo 5311 1400
pintura cinzento claro RAL 7035",kabelové ?roubení ST-M12x1.5,"kabelové ?roubení ST-M12x1.5
v?robce Lapp Kabel
?. polo?ky 5311 1400
nátěrová barva světle ?ed? RAL 7035",vành ??m cáp ST-M12x1.5,"vành ??m cáp ST-M12x1.5
nhà s?n xu?t Lapp Kabel
m? s? s?n ph?m 5311 1400
s?n xám nh?t RAL 7035","BLOC, BLOA",Buy,,,each,false,102062684,,,,,,27149109,false,Dangerous Good No / Hazardous Good No,K01128,,,,,30,17,17,0.05,30,17,17,3.000000026077E-3,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Benzing, Matthias",2019-12-11 09:56:04
2,LONT-11968-001,Standard Part,Component,5,1,each,00.3 ,"counternut GMP-GL-M 12x1,5 RAL7035",Released,,,,,,,,W338,I1,"counternut GMP-GL-M 12x1,5 RAL7035","counternut GMP-GL-M 12x1,5 RAL7035
 manufacturer Lapp Kabel
type SKINTOP GMP-GL-M 12x1,5 , lic
order no. 5311 9003 
material PA GFRP
paint RAL 7035 light gray","Kontermutter GMP-GL-M 12x1,5 RAL7035","Kontermutter GMP-GL-M 12x1,5 RAL7035
 Hersteller Lapp Kabel
Typ SKINTOP GMP-GL-M 12x1,5 , lic
Bestell-Nr. 5311 9003 
Material PA GFK
Farbe RAL 7035 lichtgrau","锁紧螺母 GMP-GL-M 12x1,5 RAL7035","锁紧螺母 GMP-GL-M 12x1,5 RAL7035
 制造商 Lapp Kabel
型号 SKINTOP GMP-GL-M 12x1,5 , lic
订单号 5311 9003 
材料 聚酰胺 玻璃钢
油漆 劳尔色卡 7035 浅灰色","contratuerca GMP-GL-M 12x1,5 RAL7035","contratuerca GMP-GL-M 12x1,5 RAL7035
 fabricante Lapp Kabel
tipo SKINTOP GMP-GL-M 12x1,5 , lic
n.? de pedido 5311 9003 
material PA GRP
pintura RAL 7035 gris luminoso","contraporca GMP-GL-M 12x1,5 RAL7035","contraporca GMP-GL-M 12x1,5 RAL7035
 fabricante Lapp Kabel
tipo SKINTOP GMP-GL-M 12x1,5 , lic
n.° de encomenda 5311 9003 
material PA PRFV
pintura RAL 7035 cinzento claro","kontramatice GMP-GL-M 12x1,5 RAL7035","kontramatice GMP-GL-M 12x1,5 RAL7035
 v?robce Lapp Kabel
typ SKINTOP GMP-GL-M 12x1,5 , lic
obj. ?. 5311 9003 
materiál PA sklolaminát
nátěrová barva RAL 7035 světle ?ed?","?ai ??c kho?a GMP-GL-M 12x1,5 RAL7035","?ai ??c kho?a GMP-GL-M 12x1,5 RAL7035
 nhà s?n xu?t Lapp Kabel
lo?i SKINTOP GMP-GL-M 12x1,5 , lic
??n hàng s? 5311 9003 
v?t li?u nh?a polyamide nh?a s?i th?y
 tinh
s?n RAL 7035 xám nh?t","BLOA, BLOC",Buy,,,each,false,102063034,,,,,,27260000,false,Dangerous Good No / Hazardous Good No,,,,,,19,19,5,0.05,19,19,5,1.0000000474975E-3,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Oldach, Jan",2021-02-19 07:45:06
